0.91506 84.664
6.1657 84.664
14.283 85.874
19.535 86.278
26.221 87.489
30.994 87.489
37.199 87.489
41.973 87.489
45.792 87.892
47.693 84.664
48.638 81.031
50.066 79.417
53.884 79.417
57.705 80.224
62.001 80.224
65.822 81.031
69.16 79.821
72.973 77.803
74.396 74.17
74.387 70.942
75.328 65.695
76.725 52.78
76.703 44.305
77.634 35.426
78.094 28.969
78.075 21.704
78.057 14.843
77.563 8.7892
78.973 0.3139
78.945 -10.179
79.408 -15.83
80.335 -25.919
80.314 -33.991
80.764 -44.484
81.692 -54.17
82.625 -62.646
83.568 -67.085
87.397 -63.049
92.189 -55.785
95.066 -50.942
96.048 -40.852
97.508 -29.955
98.971 -18.251
98.996 -8.9686
99.024 1.5247
100 11.211
100.98 20.897
101.01 28.969
101.03 39.058
102.01 47.534
102.03 53.587
103.47 58.43
106.33 55.605
109.66 51.973
112.52 50.359
118.25 50.359
123.97 49.552
125.86 42.691
127.27 32.197
127.72 22.108
128.16 10.404
129.09 -2.1076
128.1 -12.197
129.51 -22.287
129.96 -31.57
129.93 -42.063
131.35 -49.327
132.29 -53.363
136.11 -51.749
136.13 -44.081
138.06 -37.22
139.04 -29.148
140.48 -23.901
143.36 -20.673
146.72 -13.408
149.6 -6.5471
151.99 -3.3184
156.76 -4.5291
160.1 -6.5471
166.3 -7.7578
172.99 -7.3543
177.77 -4.5291
182.55 -1.704
188.76 1.9283
193.06 3.5426
198.31 1.9283
