0	0	0	150000	4900	-0.2618	0	0	0	0	0	0	0	0	0	0	1.40992	0	0	0	0	0	0	0	0	0	0	0	0	438180	0	inf	4733.04	486.867
1	2.54292e-08	0.00133768	148733	4900.88	-0.261135	3.80299e-05	4.67645e-10	-3	0	0	3.43106	-2.54957e-05	3.43106	187.352	19.3025	1.40888	244.223	2.13975e-05	1.45705	0.247699	388.666	2	0.00561611	0	0	1.45705	0	0.0899059	438180	0	617.685	9467.77	486.867
2	1.01845e-07	0.00267632	147469	4901.76	-0.260469	7.61486e-05	5.17026e-10	-4	0	0	3.43351	-5.02271e-05	3.43351	186.339	19.4352	1.40785	242.474	2.33604e-05	1.4572	0.247723	408.892	2	0.00621136	0	0	1.4572	0	0.0897421	438180	0	617.624	14204.2	486.867
3	2.29438e-07	0.00401592	146209	4902.64	-0.259803	0.000114356	6.14781e-10	-5	0	0	3.43597	-7.50463e-05	3.43597	184.913	19.5832	1.40728	240.85	2.738e-05	1.45734	0.247748	446.114	2	0.0073884	0	0	1.45734	0	0.0895778	438180	0	617.563	18942.3	486.867
4	4.08403e-07	0.00535647	144951	4903.52	-0.259137	0.000152653	7.35652e-10	-6	1	0	3.43842	-9.9953e-05	3.43842	183.29	19.7397	1.40693	239.288	3.22652e-05	1.45749	0.247773	488.265	2	0.00884419	0	0	1.45749	0	0.0894128	438180	0	617.502	23682.1	486.867
5	6.38932e-07	0.00669798	143695	4904.39	-0.25847	0.000191039	8.56242e-10	-7	1	0	3.44087	-0.000124947	3.44087	181.672	19.8983	1.40658	237.73	3.69801e-05	1.45763	0.247797	527.048	2	0.0102976	0	0	1.45763	0	0.0892472	438180	0	617.44	28423.6	486.867
6	9.21219e-07	0.00804043	142443	4905.27	-0.257802	0.000229514	9.7655e-10	-8	1	0	3.44332	-0.000150029	3.44332	180.057	20.0591	1.40623	236.176	4.15279e-05	1.45776	0.247819	563.159	2	0.0117487	0	0	1.45776	0	0.0890809	438180	0	617.387	33166.7	486.867
7	1.25546e-06	0.00938384	141194	4906.14	-0.257135	0.000268079	1.09657e-09	-9	1	0	3.44576	-0.000175197	3.44576	178.446	20.222	1.40589	234.625	4.59112e-05	1.45784	0.247834	597.083	2	0.0131974	0	0	1.45784	0	0.088914	438180	0	617.35	37911.6	486.867
8	1.64185e-06	0.0107282	139948	4907.01	-0.256466	0.000306733	1.21632e-09	-10	1	0	3.4482	-0.000200452	3.4482	176.838	20.3871	1.40554	233.078	5.01331e-05	1.45794	0.247849	629.173	2	0.0146437	0	0	1.45794	0	0.0887465	438180	0	617.311	42658.1	486.867
9	2.08058e-06	0.0120735	138705	4907.88	-0.255797	0.000345478	1.5001e-09	-12	2	0	3.45064	-0.000225794	3.45064	174.408	20.5906	1.40614	231.663	6.06099e-05	1.45805	0.247868	699.098	2	0.0180667	0	0	1.45805	0	0.0885782	438180	0	617.264	47406.3	486.867
10	2.57186e-06	0.0134198	137464	4908.75	-0.255128	0.000384312	1.82284e-09	-15	2	0	3.45307	-0.000251222	3.45307	171.785	20.8069	1.40696	230.281	7.21095e-05	1.45816	0.247888	771.049	2	0.0219614	0	0	1.45816	0	0.0884091	438180	0	617.214	52156.1	486.867
11	3.11587e-06	0.014767	136227	4909.61	-0.254458	0.000423237	2.14481e-09	-18	3	0	3.4555	-0.000276736	3.4555	169.168	21.0279	1.40778	228.903	8.30535e-05	1.45829	0.247908	836.819	2	0.0258495	0	0	1.45829	0	0.0882394	438180	0	617.163	56907.7	486.867
12	3.71282e-06	0.0161151	134993	4910.48	-0.253788	0.000462253	2.466e-09	-21	3	0	3.45793	-0.000302337	3.45793	166.557	21.2535	1.4086	227.528	9.34528e-05	1.45841	0.247929	897.767	2	0.0297311	0	0	1.45841	0	0.088069	438180	0	617.111	61660.8	486.867
13	4.3629e-06	0.0174642	133761	4911.34	-0.253117	0.000501358	2.78643e-09	-23	4	0	3.46035	-0.000328023	3.46035	163.953	21.4841	1.40942	226.157	0.000103318	1.45853	0.247951	954.815	2	0.033606	0	0	1.45853	0	0.087898	438180	0	617.058	66415.7	486.867
14	5.06631e-06	0.0188142	132533	4912.2	-0.252446	0.000540555	3.10608e-09	-26	4	0	3.46277	-0.000353794	3.46277	161.355	21.7197	1.41023	224.788	0.000112659	1.45866	0.247973	1008.63	2	0.0374743	0	0	1.45866	0	0.0877264	438180	0	617.003	71172.2	486.867
15	5.82326e-06	0.0201652	131308	4913.06	-0.251774	0.000579843	3.99627e-09	-34	5	0	3.46518	-0.000379651	3.46518	157.734	22.0144	1.41268	223.522	0.000140897	1.45882	0.248	1144.67	2	0.0482313	0	0	1.45882	0	0.0875537	438180	0	616.935	75930.4	486.867
16	6.63394e-06	0.0215171	130085	4913.92	-0.251102	0.000619222	4.9824e-09	-42	7	0	3.4676	-0.000405593	3.4676	153.945	22.3285	1.41539	222.276	0.00017049	1.459	0.248029	1278.79	2	0.0601539	0	0	1.459	0	0.0873796	438180	0	616.863	80690.2	486.867
17	7.49856e-06	0.0228699	128866	4914.77	-0.250429	0.000658692	5.96611e-09	-51	8	0	3.47001	-0.00043162	3.47001	150.166	22.6534	1.4181	221.034	0.000198026	1.45917	0.248059	1400.08	2	0.0720556	0	0	1.45917	0	0.0872049	438180	0	616.788	85451.6	486.867
18	8.41732e-06	0.0242237	127649	4915.62	-0.249756	0.000698254	6.94741e-09	-59	10	0	3.47241	-0.000457731	3.47241	146.396	22.99	1.42081	219.794	0.000223546	1.45936	0.248091	1511.62	2	0.0839364	0	0	1.45936	0	0.0870295	438180	0	616.71	90214.7	486.867
