27.1	208.557	417.114	625.671	834.227	1042.78	1251.34	1459.9	1668.45	1877.01	2085.57	2294.13	2502.68	2711.24	2919.8	3128.35	3336.91	3545.47	3754.02	3962.58	4171.14	
28.1	207.482	414.965	622.447	829.93	1037.41	1244.89	1452.38	1659.86	1867.34	2074.82	2282.31	2489.79	2697.27	2904.75	3112.24	3319.72	3527.2	3734.68	3942.17	4149.65	
29.1	206.399	412.798	619.197	825.596	1031.99	1238.39	1444.79	1651.19	1857.59	2063.99	2270.39	2476.79	2683.19	2889.58	3095.98	3302.38	3508.78	3715.18	3921.58	4127.98	
30.1	205.354	410.708	616.061	821.415	1026.77	1232.12	1437.48	1642.83	1848.18	2053.54	2258.89	2464.25	2669.6	2874.95	3080.31	3285.66	3491.01	3696.37	3901.72	4107.08	
31.1	204.321	408.643	612.964	817.285	1021.61	1225.93	1430.25	1634.57	1838.89	2043.21	2247.53	2451.86	2656.18	2860.5	3064.82	3269.14	3473.46	3677.78	3882.11	4086.43	
32.1	203.28	406.559	609.839	813.119	1016.4	1219.68	1422.96	1626.24	1829.52	2032.8	2236.08	2439.36	2642.64	2845.92	3049.2	3252.48	3455.76	3659.04	3862.31	4065.59	
33.1	202.229	404.458	606.687	808.916	1011.14	1213.37	1415.6	1617.83	1820.06	2022.29	2224.52	2426.75	2628.98	2831.2	3033.43	3235.66	3437.89	3640.12	3842.35	4044.58	
34.1	201.169	402.337	603.506	804.675	1005.84	1207.01	1408.18	1609.35	1810.52	2011.69	2212.86	2414.02	2615.19	2816.36	3017.53	3218.7	3419.87	3621.04	3822.2	4023.37	
35.1	200.099	400.198	600.297	800.396	1000.49	1200.59	1400.69	1600.79	1800.89	2000.99	2201.09	2401.19	2601.29	2801.38	3001.48	3201.58	3401.68	3601.78	3801.88	4001.98	
36.1	199.019	398.039	597.058	796.078	995.097	1194.12	1393.14	1592.16	1791.17	1990.19	2189.21	2388.23	2587.25	2786.27	2985.29	3184.31	3383.33	3582.35	3781.37	3980.39	
37.1	198.176	396.352	594.529	792.705	990.881	1189.06	1387.23	1585.41	1783.59	1981.76	2179.94	2378.11	2576.29	2774.47	2972.64	3170.82	3368.99	3567.17	3765.35	3963.52	
38.1	197.817	395.633	593.45	791.267	989.084	1186.9	1384.72	1582.53	1780.35	1978.17	2175.98	2373.8	2571.62	2769.43	2967.25	3165.07	3362.88	3560.7	3758.52	3956.33	
39.1	197.456	394.912	592.368	789.824	987.28	1184.74	1382.19	1579.65	1777.1	1974.56	2172.02	2369.47	2566.93	2764.39	2961.84	3159.3	3356.75	3554.21	3751.67	3949.12	
40.1	197.094	394.189	591.283	788.377	985.472	1182.57	1379.66	1576.75	1773.85	1970.94	2168.04	2365.13	2562.23	2759.32	2956.42	3153.51	3350.6	3547.7	3744.79	3941.89	
41.1	196.731	393.463	590.194	786.926	983.657	1180.39	1377.12	1573.85	1770.58	1967.31	2164.05	2360.78	2557.51	2754.24	2950.97	3147.7	3344.43	3541.17	3737.9	3934.63	
42.1	196.367	392.735	589.102	785.469	981.837	1178.2	1374.57	1570.94	1767.31	1963.67	2160.04	2356.41	2552.78	2749.14	2945.51	3141.88	3338.24	3534.61	3730.98	3927.35	
43.1	196.002	392.004	588.006	784.008	980.01	1176.01	1372.01	1568.02	1764.02	1960.02	2156.02	2352.02	2548.03	2744.03	2940.03	3136.03	3332.03	3528.04	3724.04	3920.04	
44.1	195.636	391.271	586.907	782.542	978.178	1173.81	1369.45	1565.08	1760.72	1956.36	2151.99	2347.63	2543.26	2738.9	2934.53	3130.17	3325.81	3521.44	3717.08	3912.71	
45.1	195.721	391.443	587.164	782.885	978.606	1174.33	1370.05	1565.77	1761.49	1957.21	2152.93	2348.66	2544.38	2740.1	2935.82	3131.54	3327.26	3522.98	3718.7	3914.43	
46.1	195.815	391.63	587.445	783.26	979.075	1174.89	1370.7	1566.52	1762.33	1958.15	2153.96	2349.78	2545.59	2741.41	2937.22	3133.04	3328.85	3524.67	3720.48	3916.3	
47.1	195.909	391.817	587.726	783.634	979.543	1175.45	1371.36	1567.27	1763.18	1959.09	2154.99	2350.9	2546.81	2742.72	2938.63	3134.54	3330.45	3526.35	3722.26	3918.17	
48.1	196.002	392.004	588.006	784.008	980.01	1176.01	1372.01	1568.02	1764.02	1960.02	2156.02	2352.03	2548.03	2744.03	2940.03	3136.03	3332.04	3528.04	3724.04	3920.04	
49.1	196.096	392.191	588.287	784.382	980.478	1176.57	1372.67	1568.76	1764.86	1960.96	2157.05	2353.15	2549.24	2745.34	2941.43	3137.53	3333.62	3529.72	3725.82	3921.91	
50.1	196.189	392.378	588.567	784.756	980.945	1177.13	1373.32	1569.51	1765.7	1961.89	2158.08	2354.27	2550.46	2746.65	2942.83	3139.02	3335.21	3531.4	3727.59	3923.78	
51.1	196.282	392.564	588.847	785.129	981.411	1177.69	1373.98	1570.26	1766.54	1962.82	2159.1	2355.39	2551.67	2747.95	2944.23	3140.52	3336.8	3533.08	3729.36	3925.64	
52.1	196.788	393.576	590.364	787.151	983.939	1180.73	1377.52	1574.3	1771.09	1967.88	2164.67	2361.45	2558.24	2755.03	2951.82	3148.61	3345.39	3542.18	3738.97	3935.76	
53.1	197.533	395.065	592.598	790.13	987.663	1185.2	1382.73	1580.26	1777.79	1975.33	2172.86	2370.39	2567.92	2765.46	2962.99	3160.52	3358.05	3555.59	3753.12	3950.65	
54.1	198.273	396.545	594.818	793.09	991.363	1189.64	1387.91	1586.18	1784.45	1982.73	2181	2379.27	2577.54	2775.82	2974.09	3172.36	3370.63	3568.91	3767.18	3965.45	
