50	123099	207.688
100	86115.8	283.635
150	82715	352.623
200	89443	424.375
250	96988.8	482.923
300	105710	537.225
350	110190	571.915
400	119732	629.569
450	132683	662.543
500	139734	706.069
550	157503	766.291
600	174918	810.691
650	187044	844.189
