2974.59 1062.36 0 656591
2782.68 1025.77 1.65461e+07 627530
2594.33 988.569 1.65461e+07 606772
2409.76 950.713 1.65461e+07 586013
2229.21 912.171 1.65461e+07 565254
2052.94 872.899 1.65461e+07 544495
1881.23 832.847 1.65461e+07 523736
1714.39 791.956 1.65461e+07 502977
1552.75 750.156 1.65461e+07 482219
1396.68 707.363 1.65461e+07 461460
1246.6 663.48 1.65461e+07 440701
1102.96 618.388 1.65461e+07 419942
966.284 571.943 1.65461e+07 399183
837.167 523.948 1.65461e+07 378424
716.295 474.202 1.65461e+07 357666
604.463 422.451 1.65461e+07 336907
502.607 368.386 1.65461e+07 316148
411.842 311.709 1.65461e+07 295389
333.501 251.997 1.65461e+07 274630
269.278 188.503 1.65461e+07 253871
221.451 120.277 1.65461e+07 233112
193.313 46.1209 1.65461e+07 212354
193.083 -35.027 1.65461e+07 191595
243.358 -125.611 1.65461e+07 170836
351.686 -229.392 1.65461e+07 150077
526.099 -351.413 1.65461e+07 129318
778.912 -500.15 1.65461e+07 108559
1129.44 -691.233 1.65461e+07 87800.6
1610.66 -957.908 1.65461e+07 67041.7
2288.3 -1389.87 1.65461e+07 46282.9
3342.65 -2248.69 0 30713.8
4985.16 -3201.03 0 30713.8
7590.99 -4874.17 0 30713.8
12022 -7974.54 0 30713.8
19924.3 -13042.2 0 30713.8
32423.2 -17755 0 30713.8
47816.7 -19478.9 0 30713.8
64063.3 -19856.1 0 30713.8
80508.3 -19918.4 0 30713.8
97010.8 -19923.5 0 30713.8
113548 -19921.6 0 30713.8
